time/fps,time/time_elapsed,time/episodes,rollout/success_rate,time/total_timesteps,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
372,485,688,0.0,180952,0.007484933827072382,0.00029457168,3.344775676727295,22106,0.8596521615982056,1.7916946411132812,,,
372,488,692,0.0,182336,0.00747080659493804,0.00029453015999999994,-5.09362268447876,22279,0.19537922739982605,2.047248125076294,,,
373,491,696,0.0,183416,0.0075712064281105995,0.00029449775999999995,8.43673324584961,22414,0.20263466238975525,2.193054676055908,,,
373,493,700,0.0,184104,0.007798420265316963,0.00029447712,4.265685081481934,22500,0.24460092186927795,1.7111194133758545,,,
373,494,704,0.0,184528,0.007834536023437977,0.00029446439999999995,0.5970196723937988,22553,24.450050354003906,2.5207221508026123,,,
373,496,708,0.0,185392,0.007634209468960762,0.00029443848,1.9875893592834473,22661,24.14678382873535,1.3460465669631958,,,
373,498,712,0.0,186432,0.007643457967787981,0.00029440727999999997,0.7587942481040955,22791,0.31376639008522034,1.2395249605178833,,,
374,501,716,0.0,187496,0.007821147330105305,0.00029437535999999996,3.035167694091797,22924,0.1997491717338562,2.6397323608398438,,,
374,502,720,0.0,187928,0.00794440321624279,0.00029436239999999997,2.9684815406799316,22978,0.35928183794021606,2.011363983154297,,,
374,503,724,0.0,188312,0.007977231405675411,0.00029435088,-1.6741544008255005,23026,0.21066446602344513,1.3724212646484375,,,
,,,,188416,0.00796048529446125,0.00029434776,0.13331151008605957,23039,0.21893611550331116,1.3329174518585205,-238.0882327190966,275.34375,0.0
371,509,728,0.0,189440,0.008018345572054386,0.00029431703999999994,1.7183623313903809,23167,0.43606677651405334,2.9653384685516357,,,
372,513,732,0.0,191120,0.00779736740514636,0.00029426664,2.628802537918091,23377,0.8296068906784058,3.833559036254883,,,
372,514,736,0.0,191528,0.00786509457975626,0.0002942544,-0.8191304206848145,23428,0.48811671137809753,2.4310882091522217,,,
